,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
7249,GOMININGUSDT,ARCUSDT,0.0,-4.21,-3.37,1.56,17
12522,SAFEUSDT,LUMIAUSDT,0.02,-3.74,-3.37,0.92,17
6075,FDUSDUSDT,DOGUSDT,0.02,-3.6,-3.37,258.82,17
7753,HBARUSDT,MEWUSDT,0.02,-3.65,-3.37,70.98,17
12515,SAFEUSDT,KASUSDT,0.01,-3.82,-3.37,6.21,17
11487,QIUSDT,VRUSDT,0.01,-3.99,-3.37,1.44,17
8320,IDEXUSDT,CGPTUSDT,0.02,-3.67,-3.37,0.21,17
1272,1000XECUSDT,CHILLGUYUSDT,0.02,-3.69,-3.37,0.55,17
928,1000CATUSDT,BIGTIMEUSDT,0.02,-3.75,-3.37,0.18,17
893,1000BTTUSDT,1000FLOKIUSDT,0.0,-5.33,-3.37,0.01,17
12878,SCUSDT,TROYUSDT,0.01,-4.01,-3.37,2.84,17
925,1000CATUSDT,AXSUSDT,0.01,-3.92,-3.37,0.0,17
11783,RENUSDT,BOMEUSDT,0.03,-3.48,-3.37,7.59,17
7342,GOMININGUSDT,ENJUSDT,0.01,-4.08,-3.37,3.22,17
12363,ROSEUSDT,MYRIAUSDT,0.04,-3.42,-3.37,26.25,17
6057,FDUSDUSDT,COSUSDT,0.02,-3.71,-3.37,160.74,17
11782,RENUSDT,BLURUSDT,0.04,-3.41,-3.37,0.14,17
891,1000BONKUSDT,VIRTUALUSDT,0.01,-3.85,-3.37,0.01,17
8029,HIVEUSDT,RADUSDT,0.0,-4.3,-3.37,0.39,17
11814,RENUSDT,NTRNUSDT,0.04,-3.39,-3.37,0.09,17
7280,GOMININGUSDT,BIOUSDT,0.01,-4.03,-3.37,2.13,17
6069,FDUSDUSDT,DEGENUSDT,0.01,-3.87,-3.37,150.74,17
6654,FORTHUSDT,ETHBTCUSDT,0.01,-3.8,-3.37,134.76,17
6440,FIOUSDT,1000000CHEEMSUSDT,0.01,-3.82,-3.37,0.04,17
12828,SCUSDT,MYRIAUSDT,0.0,-4.55,-3.37,2.22,17
941,1000CATUSDT,HIFIUSDT,0.01,-4.01,-3.37,0.03,17
883,1000BONKUSDT,MAVIAUSDT,0.0,-5.21,-3.37,0.05,17
11561,RADUSDT,KOMAUSDT,0.0,-5.04,-3.37,23.79,17
11540,RADUSDT,FLMUSDT,0.0,-4.91,-3.37,19.57,17
12528,SAFEUSDT,MVLUSDT,0.03,-3.53,-3.37,168.22,17
11294,PROMUSDT,PROSUSDT,0.04,-3.4,-3.37,11.36,17
8311,ICXUSDT,POWRUSDT,0.0,-4.36,-3.37,0.62,17
2244,ALTUSDT,ENAUSDT,0.03,-3.54,-3.37,0.1,17
12483,SAFEUSDT,ACTUSDT,0.01,-3.89,-3.37,4.13,17
7344,GOMININGUSDT,EOSUSDT,0.0,-4.12,-3.37,0.64,17
7274,GOMININGUSDT,BCHUSDT,0.0,-4.13,-3.37,0.0,17
11139,PORTALUSDT,RADUSDT,0.0,-5.54,-3.37,0.2,17
2525,ARUSDT,LTCUSDT,0.03,-3.59,-3.37,0.12,17
6651,FORTHUSDT,DEEPUSDT,0.03,-3.53,-3.37,16.66,17
11164,POWRUSDT,C98USDT,0.04,-3.46,-3.37,2.06,17
12531,SAFEUSDT,NKNUSDT,0.01,-3.83,-3.37,9.96,17
6100,FDUSDUSDT,FLMUSDT,0.01,-3.97,-3.37,18.95,17
6650,FORTHUSDT,DBRUSDT,0.03,-3.59,-3.37,135.0,17
1252,1000XECUSDT,ACEUSDT,0.04,-3.44,-3.37,0.02,17
12346,ROSEUSDT,ETHFIUSDT,0.04,-3.38,-3.37,0.04,17
6102,FDUSDUSDT,FLOWUSDT,0.01,-3.83,-3.37,1.56,17
12475,RVNUSDT,VRUSDT,0.01,-3.77,-3.37,1.92,17
7045,GLMUSDT,USDCUSDT,0.04,-3.43,-3.37,0.32,17
7691,GUSDT,KASUSDT,0.05,-3.37,-3.37,0.21,17
2380,API3USDT,USTCUSDT,0.03,-3.56,-3.37,81.67,17
2377,API3USDT,TAIKOUSDT,0.02,-3.66,-3.37,0.94,17
12048,REQUSDT,ILVUSDT,0.03,-3.51,-3.37,0.0,17
7096,GMXUSDT,FXSUSDT,0.01,-3.84,-3.37,8.25,17
2324,APEUSDT,1000NEIROCTOUSDT,0.02,-3.65,-3.37,1.8,17
7515,GOMININGUSDT,PRIMEUSDT,0.0,-4.13,-3.37,0.05,17
2732,AUDIOUSDT,BLURUSDT,0.01,-3.88,-3.37,0.7,17
7517,GOMININGUSDT,PROSUSDT,0.0,-4.12,-3.37,1.1,17
2368,API3USDT,RADUSDT,0.0,-5.91,-3.37,1.18,17
6528,FIREUSDT,RADUSDT,0.0,-4.23,-3.37,0.2,17
7011,GLMUSDT,MANAUSDT,0.01,-3.96,-3.37,0.73,17
11635,RADUSDT,STGUSDT,0.0,-5.09,-3.37,3.06,17
11707,RAREUSDT,GOATUSDT,0.01,-3.77,-3.37,0.43,17
12412,RSS3USDT,DBRUSDT,0.0,-4.29,-3.37,3.12,17
2738,AUDIOUSDT,CGPTUSDT,0.0,-4.27,-3.37,0.58,17
7958,HIPPOUSDT,SKLUSDT,0.02,-3.61,-3.37,0.13,17
2336,APEUSDT,MASKUSDT,0.02,-3.59,-3.37,0.42,17
7086,GMTUSDT,TWTUSDT,0.01,-4.08,-3.37,0.09,17
1096,1000RATSUSDT,C98USDT,0.04,-3.4,-3.37,0.24,17
2340,APEUSDT,NMRUSDT,0.0,-4.52,-3.37,0.08,17
11642,RADUSDT,SUNDOGUSDT,0.0,-4.88,-3.37,19.05,17
6255,FDUSDUSDT,POLUSDT,0.01,-3.79,-3.37,2.44,17
6240,FDUSDUSDT,OSMOUSDT,0.01,-3.79,-3.37,2.53,17
8130,HOOKUSDT,GMTUSDT,0.04,-3.45,-3.37,2.87,17
1011,1000LUNCUSDT,API3USDT,0.0,-4.22,-3.37,0.06,17
2604,ATAUSDT,KDAUSDT,0.0,-4.54,-3.37,0.13,17
2566,ASTRUSDT,ORCAUSDT,0.04,-3.46,-3.37,0.02,17
6990,GLMUSDT,FARTCOINUSDT,0.01,-3.97,-3.37,0.31,17
2718,AUCTIONUSDT,TWTUSDT,0.01,-3.94,-3.37,12.06,17
8206,HOTUSDT,BLASTUSDT,0.04,-3.4,-3.37,0.35,17
2905,AXLUSDT,BEAMUSDT,0.03,-3.52,-3.37,35.52,17
8105,HOOKUSDT,BBUSDT,0.03,-3.56,-3.37,1.03,17
12031,REQUSDT,GTCUSDT,0.03,-3.49,-3.37,0.21,17
2316,ANIMEUSDT,RADUSDT,0.0,-5.37,-3.37,0.05,17
12672,SCRUSDT,BSVUSDT,0.04,-3.44,-3.37,0.01,17
11230,POWRUSDT,SUNDOGUSDT,0.01,-3.77,-3.37,4.72,17
7798,HFTUSDT,LQTYUSDT,0.01,-3.92,-3.37,0.1,17
1092,1000RATSUSDT,BANANAUSDT,0.0,-4.4,-3.37,0.0,17
12607,SANDUSDT,GUSDT,0.03,-3.54,-3.37,19.64,17
2318,ANIMEUSDT,STEEMUSDT,0.03,-3.5,-3.37,0.23,17
6762,FUSDT,MEMEUSDT,0.02,-3.71,-3.37,5.8,17
11228,POWRUSDT,STORJUSDT,0.01,-4.08,-3.37,0.6,17
7106,GMXUSDT,KDAUSDT,0.0,-4.44,-3.37,27.81,17
11722,RAREUSDT,PNUTUSDT,0.02,-3.72,-3.37,0.34,17
2605,ATAUSDT,LAIUSDT,0.01,-3.77,-3.37,12.72,17
7621,GRASSUSDT,JOEUSDT,0.01,-4.03,-3.37,5.64,17
7508,GOMININGUSDT,POLUSDT,0.0,-4.12,-3.37,1.2,17
6256,FDUSDUSDT,POLYXUSDT,0.01,-3.96,-3.37,4.28,17
7081,GMTUSDT,RPLUSDT,0.04,-3.38,-3.37,0.01,17
6532,FLMUSDT,10000000AIDOGEUSDT,0.03,-3.54,-3.37,28.36,17
2342,APEUSDT,RADUSDT,0.01,-4.05,-3.37,0.92,17
7543,GOMININGUSDT,SAGAUSDT,0.01,-4.07,-3.37,0.43,17
6277,FDUSDUSDT,RENUSDT,0.02,-3.6,-3.37,38.78,17
11350,PROSUSDT,KOMAUSDT,0.03,-3.53,-3.37,10.26,17
11690,RAREUSDT,ALCHUSDT,0.01,-3.88,-3.37,1.94,17
1098,1000RATSUSDT,CHESSUSDT,0.04,-3.46,-3.37,0.2,17
12648,SCAUSDT,TAIKOUSDT,0.04,-3.39,-3.37,0.13,17
7555,GOMININGUSDT,SLFUSDT,0.01,-4.06,-3.37,2.09,17
12077,REQUSDT,LPTUSDT,0.02,-3.63,-3.37,0.01,17
8159,HOOKUSDT,NMRUSDT,0.02,-3.64,-3.37,0.02,17
1260,1000XECUSDT,ASTRUSDT,0.03,-3.51,-3.37,0.64,17
2351,API3USDT,CELOUSDT,0.01,-3.85,-3.37,2.25,17
7557,GOMININGUSDT,SNTUSDT,0.0,-4.13,-3.37,12.43,17
6782,FUSDT,SPECUSDT,0.02,-3.64,-3.37,0.01,17
11673,RADUSDT,VELODROMEUSDT,0.0,-4.62,-3.37,10.55,17
11678,RADUSDT,VIRTUALUSDT,0.0,-5.02,-3.37,0.49,17
2353,API3USDT,ENAUSDT,0.04,-3.44,-3.37,1.62,17
6303,FDUSDUSDT,SLPUSDT,0.01,-3.96,-3.37,346.93,17
11674,RADUSDT,VELOUSDT,0.0,-4.8,-3.37,46.82,17
11353,PROSUSDT,MAVUSDT,0.04,-3.41,-3.37,3.45,17
7570,GOMININGUSDT,STORJUSDT,0.01,-4.11,-3.37,1.15,17
12643,SANDUSDT,VELOUSDT,0.01,-4.08,-3.37,23.76,17
2890,AVAXUSDT,HPOS10IUSDT,0.0,-4.71,-3.37,245.97,17
11354,PROSUSDT,MEMEFIUSDT,0.03,-3.57,-3.37,205.55,17
2749,AUDIOUSDT,GOATUSDT,0.03,-3.52,-3.37,0.63,17
11221,POWRUSDT,SLERFUSDT,0.01,-3.87,-3.37,1.68,17
910,1000CATSUSDT,A8USDT,0.01,-3.95,-3.37,0.04,17
12624,SANDUSDT,RIFSOLUSDT,0.02,-3.64,-3.37,63.74,17
7804,HFTUSDT,SCRTUSDT,0.03,-3.54,-3.37,0.47,17
6769,FUSDT,OMNIUSDT,0.01,-3.89,-3.37,0.01,17
7027,GLMUSDT,PROMUSDT,0.01,-3.95,-3.37,0.06,17
8141,HOOKUSDT,IOTXUSDT,0.02,-3.62,-3.37,8.77,17
7075,GMTUSDT,PNUTUSDT,0.04,-3.43,-3.37,0.36,17
2741,AUDIOUSDT,COOKUSDT,0.03,-3.56,-3.37,5.86,17
6264,FDUSDUSDT,PROSUSDT,0.03,-3.52,-3.37,2.25,17
3085,BANANAUSDT,MEWUSDT,0.02,-3.66,-3.37,8624.75,17
7806,HIFIUSDT,1000000MOGUSDT,0.02,-3.65,-3.37,0.43,17
6314,FDUSDUSDT,STEEMUSDT,0.01,-4.0,-3.37,4.73,17
2578,ATAUSDT,1000000MOGUSDT,0.03,-3.53,-3.37,0.08,17
2967,BAKEUSDT,RADUSDT,0.0,-5.61,-3.37,0.18,17
7534,GOMININGUSDT,RIFSOLUSDT,0.01,-4.09,-3.37,59.47,17
7582,GOMININGUSDT,SWELLUSDT,0.01,-4.09,-3.37,24.43,17
7536,GOMININGUSDT,ROSEUSDT,0.01,-4.07,-3.37,8.06,17
1100,1000RATSUSDT,COMBOUSDT,0.03,-3.56,-3.37,0.09,17
12651,SCRTUSDT,ENAUSDT,0.01,-3.98,-3.37,0.43,17
2878,AVAUSDT,STEEMUSDT,0.01,-3.91,-3.37,3.95,17
7121,GMXUSDT,PNUTUSDT,0.04,-3.42,-3.37,79.94,17
12681,SCRUSDT,CVXUSDT,0.01,-3.86,-3.37,0.21,17
6409,FILUSDT,10000000AIDOGEUSDT,0.04,-3.4,-3.37,2524.95,17
7454,GOMININGUSDT,MEWUSDT,0.0,-4.11,-3.37,111.33,17
3025,BANANAUSDT,COWUSDT,0.04,-3.41,-3.37,67.37,17
2539,ASTRUSDT,DATAUSDT,0.02,-3.64,-3.37,1.55,17
12574,SAGAUSDT,TWTUSDT,0.02,-3.75,-3.37,1.1,17
6167,FDUSDUSDT,LAIUSDT,0.02,-3.63,-3.37,124.16,17
6392,FIDAUSDT,NEARUSDT,0.01,-4.09,-3.37,0.04,17
7458,GOMININGUSDT,MOBILEUSDT,0.02,-3.75,-3.37,628.06,17
7788,HBARUSDT,USDEUSDT,0.03,-3.57,-3.37,0.31,17
954,1000CATUSDT,MTLUSDT,0.02,-3.67,-3.37,0.01,17
6948,GLMRUSDT,MTLUSDT,0.02,-3.71,-3.37,0.15,17
11752,RDNTUSDT,BANDUSDT,0.04,-3.46,-3.37,0.04,17
1265,1000XECUSDT,BANANAUSDT,0.0,-4.2,-3.37,0.0,17
8071,HMSTRUSDT,MYROUSDT,0.04,-3.42,-3.37,0.08,17
7165,GOATUSDT,RADUSDT,0.0,-4.53,-3.37,0.2,17
1085,1000RATSUSDT,AKTUSDT,0.0,-4.27,-3.37,0.01,17
901,1000BTTUSDT,LOOKSUSDT,0.04,-3.43,-3.37,0.03,17
12010,REQUSDT,FORTHUSDT,0.04,-3.4,-3.37,0.03,17
6954,GLMRUSDT,OSMOUSDT,0.01,-3.98,-3.37,0.43,17
12575,SAGAUSDT,USTCUSDT,0.03,-3.51,-3.37,75.31,17
7666,GTCUSDT,RVNUSDT,0.0,-4.18,-3.37,31.3,17
7975,HIVEUSDT,1000000CHEEMSUSDT,0.02,-3.67,-3.37,0.49,17
7665,GTCUSDT,RAYDIUMUSDT,0.01,-4.01,-3.37,0.08,17
6604,FLRUSDT,1000FLOKIUSDT,0.04,-3.38,-3.37,0.2,17
12720,SCRUSDT,SUSHIUSDT,0.01,-3.9,-3.37,0.54,17
970,1000CATUSDT,SHIB1000USDT,0.03,-3.49,-3.37,0.85,17
7046,GLMUSDT,VELODROMEUSDT,0.03,-3.5,-3.37,3.33,17
6144,FDUSDUSDT,IDUSDT,0.01,-3.81,-3.37,2.82,17
2660,ATHUSDT,PNUTUSDT,0.01,-4.02,-3.37,0.2,17
6706,FORTHUSDT,PROSUSDT,0.02,-3.61,-3.37,9.49,17
6146,FDUSDUSDT,IMXUSDT,0.02,-3.77,-3.37,0.88,17
865,1000APUUSDT,HFTUSDT,0.01,-3.92,-3.37,2.34,17
2662,ATHUSDT,POWRUSDT,0.02,-3.6,-3.37,0.21,17
1,10000000AIDOGEUSDT,1000PEPEUSDT,0.04,-3.44,-3.37,0.14,17
8261,HPOS10IUSDT,STEEMUSDT,0.0,-4.45,-3.37,0.66,17
3014,BANANAUSDT,BOMEUSDT,0.02,-3.74,-3.37,11178.28,17
3015,BANANAUSDT,BSVUSDT,0.0,-4.16,-3.37,0.77,17
7782,HBARUSDT,SONICUSDT,0.03,-3.57,-3.37,0.66,17
3017,BANANAUSDT,CELOUSDT,0.01,-4.03,-3.37,69.87,17
12730,SCUSDT,1000000CHEEMSUSDT,0.01,-3.82,-3.37,0.01,17
952,1000CATUSDT,MAVUSDT,0.01,-3.84,-3.37,0.12,17
12306,RLCUSDT,ANKRUSDT,0.02,-3.67,-3.37,60.72,17
11755,RDNTUSDT,CHILLGUYUSDT,0.04,-3.47,-3.37,0.78,17
12305,RLCUSDT,ANIMEUSDT,0.01,-3.85,-3.37,35.29,17
779,10000WENUSDT,SLFUSDT,0.04,-3.41,-3.37,3.07,17
7840,HIFIUSDT,NOTUSDT,0.01,-3.86,-3.37,118.67,17
2533,ASTRUSDT,BAKEUSDT,0.0,-5.14,-3.37,0.27,17
899,1000BTTUSDT,FLOWUSDT,0.04,-3.38,-3.37,0.0,17
7160,GOATUSDT,MAVUSDT,0.04,-3.4,-3.37,1.59,17
790,10000WHYUSDT,ADAUSDT,0.04,-3.44,-3.37,0.0,17
7789,HBARUSDT,VANAUSDT,0.01,-4.03,-3.37,0.03,17
12702,SCRUSDT,NEARUSDT,0.03,-3.52,-3.37,0.15,17
11194,POWRUSDT,MYRIAUSDT,0.0,-4.35,-3.37,110.29,17
7139,GMXUSDT,VRUSDT,0.02,-3.63,-3.37,2246.22,17
2554,ASTRUSDT,KDAUSDT,0.01,-3.82,-3.37,0.07,17
12395,RSRUSDT,PRIMEUSDT,0.03,-3.58,-3.37,0.0,17
6742,FTNUSDT,SDUSDT,0.02,-3.7,-3.37,4.31,17
12171,REQUSDT,RDNTUSDT,0.03,-3.54,-3.37,2.59,17
8221,HOTUSDT,SPECUSDT,0.04,-3.46,-3.37,0.0,17
8218,HOTUSDT,RADUSDT,0.0,-5.1,-3.37,0.0,17
6973,GLMUSDT,1000CATUSDT,0.04,-3.38,-3.37,20.32,17
12168,REQUSDT,QUICKUSDT,0.02,-3.66,-3.37,3.76,17
2414,ARBUSDT,SPECUSDT,0.01,-3.77,-3.37,0.12,17
7134,GMXUSDT,SOLVUSDT,0.04,-3.43,-3.37,377.42,17
7133,GMXUSDT,SLFUSDT,0.03,-3.55,-3.37,89.72,17
1091,1000RATSUSDT,AXSUSDT,0.02,-3.62,-3.37,0.01,17
2860,AVAUSDT,LAIUSDT,0.01,-3.78,-3.37,104.16,17
6578,FLOWUSDT,KDAUSDT,0.03,-3.59,-3.37,0.85,17
8088,HMSTRUSDT,VRUSDT,0.01,-4.07,-3.37,0.28,17
2413,ARBUSDT,SONICUSDT,0.02,-3.76,-3.37,1.36,17
7637,GRTUSDT,KAVAUSDT,0.02,-3.69,-3.37,0.4,17
3095,BANANAUSDT,ONEUSDT,0.02,-3.63,-3.37,1944.13,17
1221,1000TURBOUSDT,RIFUSDT,0.04,-3.4,-3.37,68.86,17
7475,GOMININGUSDT,NKNUSDT,0.01,-4.1,-3.37,6.16,17
7660,GTCUSDT,MASKUSDT,0.0,-4.3,-3.37,0.25,17
7474,GOMININGUSDT,NFPUSDT,0.01,-4.05,-3.37,2.55,17
11322,PROSUSDT,ALCHUSDT,0.01,-4.05,-3.37,9.75,17
6958,GLMRUSDT,RADUSDT,0.0,-4.84,-3.37,0.16,17
3048,BANANAUSDT,GLMRUSDT,0.0,-4.32,-3.37,222.61,17
6592,FLOWUSDT,SCRUSDT,0.02,-3.6,-3.37,0.96,17
3049,BANANAUSDT,GLMUSDT,0.0,-5.08,-3.37,116.61,17
3053,BANANAUSDT,GOATUSDT,0.01,-3.83,-3.37,184.74,17
2940,AXSUSDT,VIRTUALUSDT,0.04,-3.41,-3.37,2.58,17
12701,SCRUSDT,LUNA2USDT,0.04,-3.41,-3.37,2.08,17
793,10000WHYUSDT,APTUSDT,0.03,-3.53,-3.37,0.0,17
7465,GOMININGUSDT,MOVRUSDT,0.01,-4.1,-3.37,0.05,17
7468,GOMININGUSDT,MYRIAUSDT,0.0,-4.13,-3.37,211.12,17
12692,SCRUSDT,HFTUSDT,0.01,-3.83,-3.37,4.44,17
6368,FIDAUSDT,BLASTUSDT,0.03,-3.52,-3.37,34.41,17
8230,HPOS10IUSDT,IOSTUSDT,0.02,-3.7,-3.37,23.25,17
2416,ARCUSDT,MONUSDT,0.03,-3.49,-3.37,4.79,17
2698,AUCTIONUSDT,FARTCOINUSDT,0.04,-3.47,-3.37,11.88,17
2943,BADGERUSDT,UNIUSDT,0.03,-3.49,-3.37,0.33,17
6194,FDUSDUSDT,MBOXUSDT,0.02,-3.73,-3.37,7.25,17
12696,SCRUSDT,IOTAUSDT,0.01,-3.81,-3.37,2.22,17
12583,SANDUSDT,1000RATSUSDT,0.04,-3.4,-3.37,17.33,17
802,10000WHYUSDT,BLASTUSDT,0.04,-3.46,-3.37,0.12,17
6816,GALAUSDT,KASUSDT,0.01,-3.77,-3.37,0.24,17
1323,1000XECUSDT,MOVRUSDT,0.02,-3.74,-3.37,0.0,17
8390,ILVUSDT,ONEUSDT,0.02,-3.72,-3.37,1555.04,17
13696,SYNUSDT,MASKUSDT,0.0,-4.48,-3.37,0.2,17
9186,MAGICUSDT,QIUSDT,0.01,-3.83,-3.37,25.08,17
4902,CTKUSDT,USDEUSDT,0.01,-3.96,-3.37,0.57,17
4901,CTKUSDT,USDCUSDT,0.02,-3.66,-3.37,0.57,17
9190,MAGICUSDT,SLFUSDT,0.01,-4.08,-3.37,1.44,17
10548,ORBSUSDT,COMPUSDT,0.04,-3.41,-3.37,0.0,17
13681,SWELLUSDT,USDCUSDT,0.01,-3.92,-3.37,0.02,17
3575,BNBUSDT,VELODROMEUSDT,0.02,-3.67,-3.37,6885.54,17
9209,MAJORUSDT,RAREUSDT,0.01,-4.09,-3.37,3.0,17
3576,BNBUSDT,VELOUSDT,0.01,-3.89,-3.37,30534.99,17
246,1000000PEIPEIUSDT,UXLINKUSDT,0.04,-3.47,-3.37,0.06,17
256,10000COQUSDT,10000LADYSUSDT,0.0,-5.17,-3.37,15.09,17
245,1000000PEIPEIUSDT,USDEUSDT,0.03,-3.48,-3.37,0.05,17
4864,CTKUSDT,MORPHOUSDT,0.03,-3.49,-3.37,0.19,17
10523,ORBSUSDT,BANANAUSDT,0.01,-3.9,-3.37,0.0,17
13702,SYSUSDT,1000TURBOUSDT,0.03,-3.55,-3.37,0.02,17
244,1000000PEIPEIUSDT,UROUSDT,0.02,-3.64,-3.37,6.28,17
13707,SYSUSDT,FXSUSDT,0.02,-3.6,-3.37,0.04,17
4853,CTKUSDT,LAIUSDT,0.04,-3.46,-3.37,71.0,17
10515,ORBSUSDT,AVAILUSDT,0.03,-3.55,-3.37,0.25,17
242,1000000PEIPEIUSDT,TONUSDT,0.01,-4.09,-3.37,0.01,17
13661,SUSHIUSDT,THETAUSDT,0.02,-3.62,-3.37,0.65,17
260,10000COQUSDT,1000APUUSDT,0.0,-4.7,-3.37,0.03,17
3406,BLUEUSDT,FUSDT,0.01,-4.07,-3.37,4.79,17
13630,SUNDOGUSDT,MYRIAUSDT,0.02,-3.68,-3.37,23.39,17
4976,CVCUSDT,SOLUSDT,0.01,-3.87,-3.37,0.0,17
13617,SUIUSDT,MASKUSDT,0.02,-3.64,-3.37,1.75,17
1906,AGIUSDT,LUCEUSDT,0.0,-4.74,-3.37,12.1,17
10585,ORBSUSDT,FUSDT,0.0,-4.6,-3.37,0.64,17
9145,LUNA2USDT,CHILLGUYUSDT,0.02,-3.71,-3.37,5.51,17
4965,CVCUSDT,ORDERUSDT,0.03,-3.52,-3.37,0.59,17
4961,CVCUSDT,MYROUSDT,0.0,-4.5,-3.37,4.32,17
4960,CVCUSDT,MEWUSDT,0.0,-4.43,-3.37,31.6,17
4958,CVCUSDT,MAVUSDT,0.01,-3.99,-3.37,1.08,17
9155,LUNA2USDT,OSMOUSDT,0.01,-3.87,-3.37,0.81,17
3569,BNBUSDT,TROYUSDT,0.02,-3.67,-3.37,372114.26,17
9156,LUNA2USDT,POWRUSDT,0.02,-3.69,-3.37,1.26,17
1898,AGIUSDT,IOUSDT,0.0,-5.03,-3.37,0.05,17
2211,ALPACAUSDT,VANAUSDT,0.02,-3.71,-3.37,0.01,17
9164,LUNA2USDT,TWTUSDT,0.0,-4.18,-3.37,0.32,17
10563,ORBSUSDT,DOGUSDT,0.02,-3.6,-3.37,6.9,17
10562,ORBSUSDT,DOGSUSDT,0.01,-3.78,-3.37,91.35,17
13647,SUSHIUSDT,10000000AIDOGEUSDT,0.01,-3.81,-3.37,667.12,17
13650,SUSHIUSDT,FXSUSDT,0.03,-3.48,-3.37,0.49,17
13653,SUSHIUSDT,MASKUSDT,0.01,-3.81,-3.37,0.55,17
10509,ORBSUSDT,ARKMUSDT,0.03,-3.55,-3.37,0.02,17
4838,CTKUSDT,FDUSDUSDT,0.01,-3.92,-3.37,0.57,17
4832,CTKUSDT,DEXEUSDT,0.01,-3.91,-3.37,0.03,17
1833,AEVOUSDT,STXUSDT,0.01,-3.84,-3.37,0.2,17
189,1000000PEIPEIUSDT,MELANIAUSDT,0.02,-3.65,-3.37,0.02,17
9333,MASKUSDT,DENTUSDT,0.01,-4.06,-3.37,2015.77,17
9334,MASKUSDT,SCRTUSDT,0.04,-3.4,-3.37,6.99,17
9344,MAVIAUSDT,OMGUSDT,0.0,-4.64,-3.37,1.81,17
10384,OLUSDT,AVAAIUSDT,0.03,-3.5,-3.37,1.25,17
9347,MAVIAUSDT,RADUSDT,0.0,-5.33,-3.37,0.52,17
3628,BNXUSDT,KNCUSDT,0.0,-4.51,-3.37,0.51,17
1838,AGIUSDT,1000000CHEEMSUSDT,0.03,-3.57,-3.37,0.15,17
13838,TONUSDT,OMGUSDT,0.04,-3.4,-3.37,16.29,17
13853,TRBUSDT,TIAUSDT,0.04,-3.39,-3.37,11.38,17
10495,ORBSUSDT,AERGOUSDT,0.02,-3.73,-3.37,0.25,17
178,1000000PEIPEIUSDT,LAIUSDT,0.0,-4.44,-3.37,6.33,17
10368,OGNUSDT,PENDLEUSDT,0.01,-3.99,-3.37,0.03,17
9378,MAXUSDT,1000APUUSDT,0.02,-3.74,-3.37,0.36,17
4668,CRVUSDT,RADUSDT,0.0,-4.43,-3.37,0.72,17
9382,MAXUSDT,1000LUNCUSDT,0.03,-3.48,-3.37,1.67,17
13873,TUSDT,ATHUSDT,0.01,-3.87,-3.37,0.47,17
13875,TUSDT,BIOUSDT,0.05,-3.37,-3.37,0.11,17
1813,AEVOUSDT,IDUSDT,0.02,-3.62,-3.37,0.74,17
4654,CRVUSDT,10000000AIDOGEUSDT,0.01,-3.83,-3.37,401.91,17
10406,OMNIUSDT,VIRTUALUSDT,0.04,-3.39,-3.37,3.53,17
13778,TOKENUSDT,10000SATSUSDT,0.01,-4.08,-3.37,26.71,17
13770,TLMUSDT,RAYDIUMUSDT,0.04,-3.45,-3.37,0.0,17
9291,MANAUSDT,THEUSDT,0.0,-4.26,-3.37,0.64,17
4830,CTKUSDT,DEEPUSDT,0.01,-3.93,-3.37,2.25,17
9241,MANAUSDT,GNOUSDT,0.02,-3.64,-3.37,0.0,17
10486,ORBSUSDT,1000TURBOUSDT,0.01,-3.95,-3.37,0.0,17
3587,BNTUSDT,MANTAUSDT,0.04,-3.45,-3.37,1.07,17
4814,CTKUSDT,ALUUSDT,0.01,-3.84,-3.37,5.64,17
13734,TAIKOUSDT,THEUSDT,0.02,-3.73,-3.37,1.88,17
4809,CTKUSDT,ACTUSDT,0.02,-3.7,-3.37,2.98,17
229,1000000PEIPEIUSDT,SAFEUSDT,0.02,-3.6,-3.37,0.06,17
4804,CTKUSDT,10000QUBICUSDT,0.03,-3.51,-3.37,25.1,17
10474,ORBSUSDT,10000SATSUSDT,0.0,-4.37,-3.37,20.15,17
4794,CTCUSDT,USDEUSDT,0.0,-4.65,-3.37,0.96,17
9269,MANAUSDT,POWRUSDT,0.03,-3.59,-3.37,1.74,17
214,1000000PEIPEIUSDT,POPCATUSDT,0.0,-4.15,-3.37,0.14,17
4775,CTCUSDT,RIFSOLUSDT,0.0,-5.55,-3.37,117.08,17
4767,CTCUSDT,PNUTUSDT,0.0,-5.56,-3.37,3.65,17
10460,ONGUSDT,USDCUSDT,0.03,-3.5,-3.37,0.3,17
9286,MANAUSDT,SPECUSDT,0.0,-4.16,-3.37,0.09,17
10454,ONGUSDT,ROSEUSDT,0.05,-3.37,-3.37,4.88,17
13767,TLMUSDT,AUCTIONUSDT,0.01,-3.8,-3.37,0.0,17
9132,LUCEUSDT,PROSUSDT,0.03,-3.5,-3.37,0.02,17
3555,BNBUSDT,SOLUSDT,0.02,-3.64,-3.37,2.85,17
5002,CVXUSDT,MASKUSDT,0.03,-3.56,-3.37,1.41,17
5252,DGBUSDT,FTNUSDT,0.03,-3.58,-3.37,0.0,17
13387,SLPUSDT,COREUSDT,0.04,-3.47,-3.37,0.0,17
3452,BNBUSDT,ACTUSDT,0.01,-3.82,-3.37,3517.03,17
